,content,sentimen,TF_IDF
10,"['salahin', 'kemendikbud', 'dlu', 'pandemi', 'emang', 'ajar', 'maksimal', 'ajar', 'mana', 'gantung', 'kita', 'gimana', 'nerima', 'ajar', 'nadiem', 'hebat', 'maksimal', 'ajar', 'hak', 'tuduh', 'nadiem', 'jalan', 'tugas']",positif,"[0.5360944375333386, 0.3684629407650982, 0.266046617130608, 0.3471226719173001, 0.23448761068065424, 0.3390094782421812, 0.27415981080572693, 0.22681856798689673, 0.3064284672734326, 0.6128569345468652, 0.26068963321955846, 0.25537735747720874, 0.18901577316105347, 0.18901577316105347]"
11,"['dedi', 'giring', 'jepit', 'tanya', 'profokatif', 'tpmz', 'nadiem', 'hebat', 'tulus', 'catat', 'dedy', 'tuk', 'ajar', 'tulus', 'mas', 'nadiem']",positif,"[0.23149532529848718, 0.5734226085433565, 0.5225484460037726, 0.4735487641189829, 0.2908822208923638, 0.44110634473336063, 0.6364359885942605, 0.6161502112020597, 1.2323004224041194]"
12,"['nadiem', 'cerdas', 'cita', 'cita', 'luhur', 'didik', 'indonesia', 'tangkap', 'adakalanya', 'bentuk', 'pondasi', 'didik', 'indonesia', 'kokoh', 'sesuai', 'budaya', 'karakter', 'masyrkat', 'indonesia', 'sinergi', 'antra', 'elemen', 'elmen', 'kait', 'spti', 'organisasi', 'komunitas', 'didik', 'program', 'keren', 'tpi', 'proses', 'realisasi', 'efektif', 'selesai', 'krena', 'kendala', 'didik', 'indonesia', 'tingkat', 'maju', 'program', 'program', 'teliti', 'rupa', 'bkan', 'kes', 'coba', 'coba', 'impek', 'rata', 'dapat', 'ssorang', 'orang', 'bgtpun', 'sbliknya', 'tpi', 'dapat', 'buruk', 'bantu', 'maju']",positif,"[0.1150414803373177, 0.1425998800680568, 0.1473777537695366, 0.1405281806159228, 0.10220823031987275, 0.36637824071889574, 0.21309843953469573, 0.2567313315287031, 0.253667155590893, 0.11717510316326261, 0.3010803392327196, 0.1425998800680568, 0.1352152389179654, 0.1473777537695366, 0.11371838864315555, 0.20685899846772413, 0.05776392609603531, 0.06822926947129787, 0.15018211176135524, 0.3271734104204598, 0.1272039951888889, 0.1473777537695366, 0.15336143063336768, 0.12609637576901048, 0.11793102455170501, 0.16668561606040155, 0.16137267436244418, 0.1212203183250578, 0.30036422352271047]"
13,"['curhat', 'kelas', 'sekian', 'guru', 'guru', 'pkn', 'nerapin', 'kurikulum', 'darurat', 'covid', 'semester', 'bab', 'love', 'you', 'bu']",positif,"[0.425912593784024, 0.7156866762890493, 0.6819933870694533, 0.4950294003258256, 0.5166022908192655, 0.7156866762890493, 0.7008498548863245, 0.5433980749100308]"
14,"['orang', 'perintah', 'hati', 'hati', 'bijak', 'perhati', 'sehat', 'masyarakat', 'siswa', 'hati', 'hati', 'buka', 'sekolah', 'siswa', 'rumah', 'main', 'teman', 'tema', 'protokol', 'sehat', 'kumpul', 'masker', 'cuci', 'tangan', 'main', 'kesana', 'kemari', 'daerah', 'tsb', 'zona', 'merah', 'sekolah', 'buka', 'protokol', 'sehat', 'biar', 'siswa', 'rumah', 'bahaya', 'anak', 'anak', 'rumah', 'main', 'kumpul', 'masker', 'jarang', 'cuci', 'tangan', 'sekolah', 'guru', 'laksana', 'protokol', 'sehat', 'kpd', 'siswa', 'lanjut', 'ajar', 'rumah', 'siswa', 'protokol', 'sehat', 'aktifitas', 'orang', 'tua', 'izin', 'anak', 'masuk', 'sekolah', 'jaga', 'anak', 'rumah', 'hak', 'kpd', 'unt', 'masuk', 'sekolah', 'coba', 'mas', 'nadiem', 'cek', 'kampung', 'anak', 'anak', 'main', 'kumpul', 'pakai', 'masker', 'cuci', 'tangan', 'jaga', 'jarak', 'anak', 'kampung', 'protokol', 'sehat', 'aktifitas', 'sekolah', 'buka', 'rumah', 'awas', 'orang', 'tua', 'banyak', 'orang', 'tua', 'kampung', 'cuek', 'covid', 'peduli', 'azka', 'anak', 'om', 'dedi', 'main', 'susah', 'cari', 'temen', 'covid', 'jawa', 'timur', 'anak', 'main', 'waswas', 'covid', 'takut', 'main', 'teman', 'covid', 'bahaya', 'covidpun']",positif,"[0.02122040481902799, 0.20457060149228515, 0.04990995802381989, 0.10512747823294867, 0.04242711141377023, 0.05833996562114055, 0.035772880611955465, 0.1001265900245719, 0.04242711141377023, 0.05833996562114055, 0.03729222691857175, 0.1277737781352072, 0.17501989686342168, 0.039579200632753095, 0.052563739116474335, 0.025574752015104504, 0.0536765007216787, 0.17363454684362706, 0.05833996562114055, 0.09256461486000901, 0.047900274217012484, 0.051582213819337815, 0.0536765007216787, 0.15474664145801345, 0.10992217944047837, 0.1455535219548805, 0.04183162004725236, 0.04851784065162683, 0.28020832567003773, 0.026664203581800015, 0.16488326916071758, 0.0669607063864956, 0.04050608092533829, 0.054961089720239185, 0.02021737413361236, 0.038549084333026624, 0.09552097725981701, 0.04274161414696063, 0.04918486321557297, 0.0453554271374193, 0.03763241020624055, 0.2091581002362618, 0.20088211915948678, 0.19218977266933768, 0.127760387918662, 0.16060378093764588, 0.041011286107141914, 0.04274161414696063, 0.14755458964671894, 0.0907108542748386, 0.047900274217012484, 0.054961089720239185, 0.0536765007216787, 0.0893726470071085, 0.04492798301752304]"
15,"['bijak', 'baik', 'menteri', 'bahagia', 'masyarakat', 'tugas', 'muu', 'hak', 'bahagia', 'pie', 'rim']",netral,"[1.5769121734942302, 0.49305487239580503, 0.536593209179332, 0.8051475108251804, 0.6075912138800744, 0.2945506219244367, 0.448912461257502]"
16,"['bagus', 'sisitim', 'boarding', 'ajar', 'tinggal', 'lingkung', 'sekolah', 'karantina', 'test', 'rapid', 'diijinkan', 'jenguk', 'sebulannato', 'semester', 'urgent', 'ketemu', 'post', 'security', 'itu', 'batas', 'orang', 'liar', 'orang', 'tinggal', 'dalam', 'bqik', 'ruang', 'pisah', 'by', 'phone', 'beda', 'ruang']",netral,"[0.15915303614270992, 0.301983885885459, 0.33391048737083334, 0.31593035784259704, 0.38028157141641944, 0.4122081729017939, 0.39422804337355755, 0.37432468517864914, 0.3582036647243138, 0.7277676097744025, 0.1597004848983275, 0.39422804337355755, 0.6411242122044094]"
17,"['goblok', 'guru', 'nadiem', 'ngasih', 'tugas', 'guru', 'nadiem', 'disalahin', 'nadiem', 'sekolah', 'online', 'mati', 'silah', 'seko']",negatif,"[0.5606521497683575, 0.4721492679711601, 0.4318847318013058, 0.5598657452384962, 0.45401412198990443, 0.2886431728790093, 0.4478569906304015, 0.1965544429517877, 0.507333135879131, 0.27625382231230894]"
18,"['guru', 'berani', 'komentar', 'menteri', 'podcas']",netral,"[1.4036253783542438, 0.7672425604531351, 1.694413080805664, 0.5891012438488734]"
19,"['kasi', 'anak', 'anak', 'cuekgak', 'peduli', 'ajar', 'online']",negatif,"[0.42440809638055976, 0.9092026732990451, 0.8681727342181352, 0.6253935412378535, 0.9836972643114594]"
20,"['suka', 'nadiem', 'artikulasi', 'gagas', 'bener', 'woww', 'bgt', 'jam', 'terbang', 'mikir', 'better', 'diam', 'jeda', 'than', 'emm', 'emm', 'emm', 'jarang', 'perhati', 'audience', 'pdhl', 'pengaruhh', 'gimana', 'dengar', 'cerna', 'pesan', 'appreciate']",positif,"[0.3916348745886483, 0.4109667536871795, 0.4006951081006778, 0.49547539127703416, 0.507333135879131, 0.34271266176403314, 0.3835302195380463, 0.4761435121785029, 0.4186654812684859, 0.18662191507949874, 0.4186654812684859, 0.5213578710171275, 0.3673978710009641]"
21,"['mantap', 'menteri']",positif,"[2.8395200172772737, 1.1782024876977468]"
22,"['organisasi', 'dukung', 'didik', 'karakter', 'dewasa', 'pas', 'gera', 'pramuka', 'gera', 'pramuka', 'bangun', 'mental', 'kokoh', 'karakter', 'budi', 'luhur', 'salam', 'pramuka']",netral,"[0.5884497535887157, 0.2959450148560418, 0.5337301441334052, 1.262008896567677, 0.7778662082818739, 0.7008498548863245, 0.5936186442148148, 0.6877628509245042]"
23,['ribet'],negatif,[6.307648693976921]
24,"['ringan', 'spp', 'sekolah', 'swasta']",netral,"[1.5211262856656778, 0.63880193959331, 1.302259101327203, 1.3240119455746102]"
25,"['putus', 'nadiem', 'besar', 'saat', 'generasi', 'muda', 'sulit', 'didik', 'tatap', 'muka', 'luar', 'masyarakat', 'nongkrongnongkrong', 'publik', 'ramai', 'tolong', 'laku', 'usaha', 'beli', 'produk', 'nongkrong', 'jam', 'jam', 'pesan', 'cangkir', 'kopi', 'lanjut', 'semangat', 'nadiem']",positif,"[0.18998016303721485, 0.28003183498147466, 0.10654020534817506, 0.17306588900441347, 0.39887142831956807, 0.19812412124686443, 0.2328856351278088, 0.22992131624165993, 0.19442918844162382, 0.2198687391104237, 0.14970797346061537, 0.19408679168267867, 0.28003183498147466, 0.27110609292890625, 0.27110609292890625, 0.20836145621235247, 0.25764720346405773, 0.25764720346405773, 0.1453400017820157, 0.1759242475636993, 0.14857045604779404, 0.18694072675809797, 0.19326968696669375]"
26,"['alhamdulillah', 'indonesia', 'untung', 'krisis', 'figur', 'publik', 'pikir', 'hitung', 'depan', 'undang', 'menteri', 'ketanagakerjaan', 'om', 'krna', 'krisis', 'ekonomi', 'didik', 'tnpa', 'ekonomipendidikan', 'optimal', 'sukses', 'lali', 'om', 'dedy']",positif,"[0.32578240306950196, 0.30252804768639463, 0.292309310084239, 0.14018448072128295, 0.26796070366591723, 0.32578240306950196, 0.16638650326018714, 0.5213792664391169, 0.3390094782421812, 0.12402131449449966, 0.4869358021013889, 0.3319815102093116, 0.2225372185419518, 0.3567185433275082, 0.2590186490977384, 0.3836041024730867, 0.27415981080572693]"
27,"['keren', 'banget', 'untung', 'banget', 'situasi', 'menteri', 'hebat', 'nadiem', 'terimakasih', 'nadiem', 'juang', 'generasi', 'we', 'believe', 'in', 'you']",positif,"[0.5386940989688798, 0.43754974215855413, 0.27041545156939606, 0.3255647753318007, 0.3401657035306448, 0.33100298639365255, 0.2985107701882833, 0.14727531096221835, 0.3032606120041854, 0.3471173057250338, 0.33695987263142285, 0.3255647753318007, 0.35925205662759363, 0.3056614171368923]"
28,"['eksprimen', 'menteri', 'makarin', 'butuh', 'sejahtera', 'guru', 'didik', 'anak', 'siswa', 'proses', 'bodoh', 'generasi']",negatif,"[0.2727608019897136, 0.46029006017384955, 0.47235285895271106, 0.26635051337043764, 0.4326647225110337, 0.3068970241812541, 0.23564049753954938, 0.5342567797933334, 0.6777652323222657, 0.38544907425035013]"
29,"['hapus', 'un', 'langkah', 'salah', 'dunia', 'pendidikanbagaimana', 'ukur', 'kompetens', 'lulus', 'standartnya', 'takada', 'mundur', 'dunia', 'didik']",negatif,"[0.26635051337043764, 0.8759514100848573, 0.6441180086601443, 0.5989194962858386, 0.5496718477760593, 0.5391357962102766, 0.41529837310594975, 0.7000795874536867, 0.5989194962858386]"
30,"['tantang', 'pimpin', 'sebenarnyasaya', 'sulittapi', 'percaya', 'perintah', 'indonesia', 'menteri', 'tantang', 'inisemangat', 'indonesia']",positif,"[0.7025207915430124, 0.8098308829987385, 0.26182277504394375, 0.5616539694979502, 0.5017654694165407, 0.5616539694979502, 1.401699709772649]"
31,"['kelompok', 'terima', 'dampak', 'sistem', 'daring', 'online', 'didik', 'anak', 'tipe', 'introvert', 'nyantai', 'malas', 'mandi', 'pagi', 'mandi', 'siang', 'audio', 'dengar', 'suka', 'instan', 'ribet', 'anak', 'tipe', 'ekstrovert', 'disiplin', 'rasional', 'arti', 'sekolah', 'sungguh', 'idealis', 'visioner', 'tuju', 'sekolah', 'itungan', 'kuat', 'orng', 'tipe', 'kelompok', 'ajar', 'sekolah', 'jalan', 'berbulanbulan', 'libur', 'dn', 'masuk', 'kelas', 'sosial', 'distancing', 'piihan', 'terakhit', 'daring', 'universitas', 'pakai', 'sistem', 'listening', 'daring', 'sbelum', 'covid', 'khusus', 'mahasiswa', 'tuju', 'mahasiswa', 'mandiri', 'cari', 'sumber', 'ilmu', 'bukn', 'ajar', 'dosen', 'salah', 'indonesia', 'wilayah', 'wargnya', 'ekonomi', 'atas', 'bahkn', 'daerah', 'sinyal', 'kurang', 'anak', 'ajar', 'wajib', 'sekolah', 'optimal', 'nama', 'wajib', 'ajar', 'diushakn', 'anak', 'sekolah', 'selam', 'pandemi', 'peluang', 'telkom', 'anak', 'cabang', 'telkom', 'kerja', 'pemerintha', 'menyambungkn', 'sinyal', 'daerah', 'sinyal', 'internet', 'proyek', 'bangun', 'daerah', 'pencil', 'balai', 'temu', 'pustaka', 'anak', 'jam', 'ajar', 'ajar', 'dnegan', 'daring', 'online', 'internet', 'pasang', 'balai', 'protokol', 'kapasitas', 'maksi', 'siswa', 'jadwal', 'ganti', 'sistem', 'daring', 'bagus', 'dukung', 'internet', 'atai', 'sjaa', 'dibutuhkn', 'dlaam', 'sistem', 'daring', 'anak', 'mandiri', 'dn', 'cari', 'sumber', 'ilmu', 'komit', 'rapi', 'bersih', 'jarak', 'capai', 'anak', 'anak', 'mandiri', 'sadar', 'kondisi', 'kurang', 'bullying', 'dn', 'lingkung', 'buruk', 'temn', 'salah', 'ketkutan', 'orang tua', 'bullying', 'dn', 'anak', 'pengaruh', 'gaul', 'hilng', 'orng', 'tua', 'orang tua', 'paham', 'cerdas', 'anak', 'terima', 'ajar', 'semangat', 'dukung', 'sistem', 'daring', 'karen', 'sekrang', 'nikah', 'anak', 'pikir', 'anak', 'ajar', 'homeschooling', 'masukki', 'pesantren', 'asrama']",positif,"[0.13858223555283586, 0.24121703577321607, 0.047624461731543305, 0.047624461731543305, 0.0377814754530649, 0.032868994382090774, 0.036027535934003, 0.047624461731543305, 0.04015090874740651, 0.06926875332860445, 0.029202351519963643, 0.0260762812520831, 0.0969286546108239, 0.03960640053194027, 0.19845631097526908, 0.03543562180482185, 0.01811908254220664, 0.04015090874740651, 0.04958148263257583, 0.1794647827599647, 0.04074282287658766, 0.06535471152653942, 0.034634376664302226, 0.034891113589355614, 0.047624461731543305, 0.047624461731543305, 0.07268799725079365, 0.021505738516622828, 0.047624461731543305, 0.10244478378918945, 0.04610647838926977, 0.029316685658170326, 0.033917638462548305, 0.039102264666948966, 0.04610647838926977, 0.0303079224689281, 0.08581834957791729, 0.027594264594356637, 0.042107929648439034, 0.03306618851048024, 0.04015090874740651, 0.0708712436096437, 0.04015090874740651, 0.04074282287658766, 0.072055071868006, 0.04486619568999117, 0.13459858706997352, 0.027330900565916565, 0.03960640053194027, 0.05105253397860029, 0.04290917478895864, 0.03898815398359878, 0.09221295677853954, 0.041391191446685106, 0.0317926406051187, 0.034891113589355614, 0.024430610136462694, 0.04610647838926977, 0.04610647838926977, 0.04610647838926977, 0.04290917478895864, 0.04486619568999117, 0.028763313961204656, 0.03414826126306315, 0.04290917478895864, 0.03634399862539683, 0.05650318001441493, 0.0869118285160966, 0.024717687377893826, 0.04610647838926977, 0.1133444263591947, 0.14544953644501518, 0.02622102545920749, 0.04290917478895864, 0.032490968183758726, 0.08763510321906726, 0.04290917478895864, 0.036675904504100444, 0.06262449798283667, 0.13145265482860088, 0.0729572628629457, 0.05592413764137009, 0.04381755160953363, 0.0755629509061298, 0.047624461731543305]"
32,"['gw', 'manusia', 'disiplintpi', 'gw', 'coba', 'disiplingw', 'neng', 'editbtw', 'good', 'podcast', 'om', 'deddy']",positif,"[0.49722969224762337, 0.5698881886261417, 0.5884497535887157, 1.0178728324192083, 0.5936186442148148, 0.7778662082818739, 0.5139877911070216, 0.6877628509245042]"
33,"['baik', 'mana', 'mntrini', 'bodoh']",negatif,"[1.31481299305548, 1.5343002005794983, 1.6510343437238701]"
34,"['siswa', 'tentang', 'ajar', 'kontra', 'guru', 'pegang', 'jenis', 'mata', 'ajar', 'cakup', 'ajar', 'kerjain', 'tugas', 'batas', 'kumpulkanjadi', 'kejar', 'tugas', 'tugas', 'masuk', 'mksd', 'guru', 'pegang', 'mata', 'ajar', 'gimana', 'mata', 'ajar', 'masuk', 'tugas', 'pkn', 'kasih', 'senin', 'batas', 'kumpul', 'sabtunah', 'selasa', 'masuk', 'tugas', 'geografi', 'batas', 'kumpul', 'jumatjadi', 'guru', 'beda', 'mata', 'ajar', 'bodo', 'gitu', 'tugas', 'kasihdia', 'mikir', 'ajar', 'tugas', 'murid', 'susah', 'stress', 'tugas', 'numpuk', 'pikir', 'hak', 'merekakarena', 'tugas', 'ajar', 'kondisi', 'murid', 'kuota', 'hp', 'temen', 'beli', 'kuota', 'hpkarena', 'hp', 'rusak', 'pengaruh', 'nilai', 'tidak', 'muridkarena', 'demi', 'teman', 'mayoritas', 'nilai', 'ancur', 'faktor', 'kuota', 'kirim', 'tugas', 'kuota', 'hp', 'kah', 'solusi', 'murid', 'jebak', 'sistem', 'ajar', 'contoh', 'guru', 'masingmasing', 'daerah', 'buat', 'kelompok', 'guru', 'ngajar', 'tatap', 'muka', 'gin', 'senin', 'guru', 'mtk', 'desa', 'ngajarin', 'murid', 'daerah', 'situ', 'kumpul', 'pinjam', 'sd', 'pake', 'protokol', 'sehat', 'atur', 'jarak', 'selesai', 'ngajar', 'besok', 'guru', 'silah', 'daerah', 'atur', 'sekolah', 'jam', 'dapat', 'efektif', 'kelas', 'takut', 'batas', 'kuota', 'nilai', 'bagussaya', 'butuh', 'nilai', 'bagus', 'tempuh', 'ajar', 'tolak', 'universitas', 'gara', 'faktor', 'nilai', 'masalah', 'sistem', 'ajar', 'mohon', 'maaf', 'belibet', 'ngetiknya', 'kerja', 'tugasjadi', 'pusing', 'mohon', 'maaf', 'salah', 'sekian', 'terima', 'kasih']",negatif,"[0.20748840267494037, 0.07987196980892987, 0.035790682771609954, 0.15829830512395063, 0.037443597966530025, 0.035181511673558305, 0.051857747218791606, 0.045850856728300284, 0.04206696321892257, 0.03498910066316378, 0.03858545485413935, 0.10554453502067491, 0.039935984904464934, 0.04206696321892257, 0.0364544765396817, 0.04206696321892257, 0.03300196002172171, 0.037443597966530025, 0.041588900099385005, 0.1591317903162058, 0.04771244508593662, 0.10613716273361185, 0.03693253965921927, 0.04257802152623332, 0.05020483202387153, 0.044364407132284345, 0.0628734149520774, 0.04507040846416823, 0.03300196002172171, 0.0467233236590883, 0.03004708811385501, 0.04507040846416823, 0.036005405266967376, 0.04771244508593662, 0.12938090840433822, 0.1642906117435307, 0.06888030544256873, 0.044364407132284345, 0.05020483202387153, 0.0892809418486608, 0.1543418194165574, 0.04885430197354595, 0.04031593523326161, 0.07542597584670263, 0.027723698789002847, 0.1257468299041548, 0.0977086039470919, 0.04507040846416823, 0.207944500496925, 0.044364407132284345, 0.10040966404774306, 0.0467233236590883, 0.031320052979978405, 0.03718366226422432, 0.04312696946811274, 0.030762842452292573, 0.03257856436364802, 0.02847255891397595, 0.018927464876838815, 0.03922998357258105, 0.10040966404774306, 0.04885430197354595, 0.0633513536516066, 0.02855178327780371, 0.0467233236590883, 0.037443597966530025, 0.0467233236590883, 0.0364544765396817, 0.03799254590840945, 0.027513047416258155, 0.04031593523326161, 0.04257802152623332, 0.034095560012877744, 0.05020483202387153, 0.051857747218791606, 0.26602219926370485, 0.04771244508593662]"
35,['superr'],positif,[]
36,"['mantap', 'mas', 'menteri', 'guru', 'byk', 'orang', 'tua', 'keluh', 'pjj', 'anak', 'dst', 'guru', 'sekolah', 'siswa', 'hikmah', 'covid', 'orang', 'tua', 'faham', 'sulit', 'didik', 'anak']",positif,"[0.2727608019897136, 0.3153824346988461, 0.19166066720281083, 0.13317525668521882, 0.3068970241812541, 0.35003979372684335, 0.2994597481429193, 0.2839520017277274, 0.1599852214908001, 0.11782024876977469, 0.2865629317794511, 0.2247634968773065, 0.127760387918662, 0.19272453712517507, 0.21990530945462414, 0.357490588028434]"
37,"['masuk', 'bantu', 'rakyat', 'ajar', 'tv', 'manfaat', 'tvri', 'radio', 'rri']",netral,"[0.42440809638055976, 0.805290362361224, 0.9703568130325366, 0.6696070638649558, 0.8202257221428383, 1.0992217944047837]"
38,"['jaman', 'sekolah', 'jam', 'kurikulum', 'jaman', 'orang tua', 'baby', 'boomers', 'sukses', 'kurikulum', 'efektif', 'sesuai', 'fokus', 'minat', 'gasih', 'kurikulum', 'susah', 'ajar', 'ajar', 'gapernah', 'dalem', 'nemuin', 'passion', 'anak', 'gitu', 'kuliah']",netral,"[0.2546448578283359, 0.1363804009948568, 0.24606771664285151, 0.28072507567084876, 0.28072507567084876, 0.24929464269973006, 0.5748032906041498, 0.24303648555202978, 0.6974130926060084, 0.14328146588972554, 0.33888261616113285, 0.127760387918662, 0.24765515155858053, 0.24606771664285151, 0.24606771664285151, 0.178745294014217]"
39,"['anak', 'anak']",positif,[2.7276080198971355]
40,"['basic', 'usaha', 'transportasi', 'online', 'pas', 'menteri', 'didik', 'sekolah', 'onlinesemoga', 'langkah', 'cerdas', 'hapus', 'un', 'sinergi', 'bijak', 'school', 'from', 'home', 'bodoh', 'generasi', 'judul', 'podcast', 'om', 'deddy', 'inianak', 'generasi', 'menterisehat']",positif,"[0.22593398281235028, 0.24225792640728921, 0.22593398281235028, 0.269947036717646, 0.14018448072128295, 0.45543655001161437, 0.3390094782421812, 0.3684629407650982, 0.3152207875188624, 0.12402131449449966, 0.24346790105069446, 0.19749269723300636, 0.28118777883859647, 0.32578240306950196, 0.3471226719173001, 0.13448461886174948, 0.3152207875188624, 0.2543022196930181]"
41,"['erti', 'sederhana', 'the', 'right', 'man', 'in', 'the', 'right', 'place', 'tempat', 'orang', 'sesuai', 'ahli', 'tim', 'gerak', 'cepat', 'orang', 'dalam', 'urus', 'halhal', 'sesuai', 'ahli', 'beliau', 'orang', 'bidang', 'didik']",positif,"[0.4478569906304015, 0.1930690156027032, 0.20369414547301698, 0.1779188507678152, 0.23401942856395044, 0.10244250514247602, 0.20735992161933714, 0.23401942856395044, 0.26926137978987946, 0.20933274063424295, 0.23401942856395044, 0.33064953666859737, 0.2536665679395655, 0.4852037456905324, 0.2536665679395655, 0.38100792547473933, 0.2536665679395655, 0.3489955872266691, 0.28032607488417877, 0.26067893550856375]"
42,"['syukur', 'menteri', 'gw', 'kuliah', 'pandemi', 'gw', 'bayangin', 'anies', 'baswedan', 'menteri']",positif,"[0.8051475108251804, 1.1451069364716093, 0.6075912138800744, 0.5891012438488734, 0.448912461257502, 0.7098800043193184]"
43,"['ayoo', 'pakgratisan', 'ukt']",negatif,[7.000795874536866]
