,Nama,Komentar,Sentimen,Time,hasil_sentimen,hasil_komentar,tokenizing,normalisasi,stopword,stemmed,preprocessing
256,Fitri Aprianti Fauziah,"Setelah mendengar bincang dengan mas menteri ini,,saya bisa faham pemikiran beliau.. Dan saya setuju mskipun memang role mode shifting itu ribeut,double metode tpi pendidik lebih senang.. Bisa tatap muka,, dn memahami knpa spti ini.. Yg terpenting demi Generasi bangsa ,demi anak2..kami siap berjuang bersama-sama dalam kondisi musibah covid19..",positif,2020-12-06T04:44:24Z,positif,"Setelah mendengar bincang dengan mas menteri ini,,saya bisa faham pemikiran beliau.. Dan saya setuju mskipun memang role mode shifting itu ribeut,double metode tpi pendidik lebih senang.. Bisa tatap muka,, dn memahami knpa spti ini.. Yg terpenting demi Generasi bangsa ,demi anak2..kami siap berjuang bersama-sama dalam kondisi musibah covid19..","['setelah', 'mendengar', 'bincang', 'dengan', 'mas', 'menteri', 'inisaya', 'bisa', 'faham', 'pemikiran', 'beliau', 'dan', 'saya', 'setuju', 'mskipun', 'memang', 'role', 'mode', 'shifting', 'itu', 'ribeutdouble', 'metode', 'tpi', 'pendidik', 'lebih', 'senang', 'bisa', 'tatap', 'muka', 'dn', 'memahami', 'knpa', 'spti', 'ini', 'yg', 'terpenting', 'demi', 'generasi', 'bangsa', 'demi', 'anakkami', 'siap', 'berjuang', 'bersamasama', 'dalam', 'kondisi', 'musibah', 'covid']","['setelah', 'mendengar', 'bincang', 'dengan', 'mas', 'menteri', 'inisaya', 'bisa', 'faham', 'pemikiran', 'beliau', 'dan', 'saya', 'setuju', 'mskipun', 'memang', 'role', 'mode', 'shifting', 'itu', 'ribeutdouble', 'metode', 'tpi', 'pendidik', 'lebih', 'senang', 'bisa', 'tatap', 'muka', 'dn', 'memahami', 'kenapa', 'spti', 'ini', 'yang', 'terpenting', 'demi', 'generasi', 'bangsa', 'demi', 'anakkami', 'siap', 'berjuang', 'bersamasama', 'dalam', 'kondisi', 'musibah', 'covid']","['mendengar', 'bincang', 'mas', 'menteri', 'inisaya', 'faham', 'pemikiran', 'beliau', 'setuju', 'mskipun', 'role', 'mode', 'shifting', 'ribeutdouble', 'metode', 'tpi', 'pendidik', 'senang', 'tatap', 'muka', 'dn', 'memahami', 'spti', 'terpenting', 'generasi', 'bangsa', 'anakkami', 'berjuang', 'bersamasama', 'kondisi', 'musibah', 'covid']","['dengar', 'bincang', 'mas', 'menteri', 'inisaya', 'faham', 'pikir', 'beliau', 'tuju', 'mskipun', 'role', 'mode', 'shifting', 'ribeutdouble', 'metode', 'tpi', 'didik', 'senang', 'tatap', 'muka', 'dn', 'paham', 'spti', 'penting', 'generasi', 'bangsa', 'anakkami', 'juang', 'bersamasama', 'kondisi', 'musibah', 'covid']",dengar bincang mas menteri inisaya faham pikir beliau tuju mskipun role mode shifting ribeutdouble metode tpi didik senang tatap muka dn paham spti penting generasi bangsa anakkami juang bersamasama kondisi musibah covid
257,Ayen Ribby,"setelah dengar podcast ini, saya merasa masih menaruh kepercayaan kepada beliau. semangat Pak Nadiem!",positif,2020-12-04T17:28:54Z,positif,"setelah dengar podcast ini, saya merasa masih menaruh kepercayaan kepada beliau. semangat Pak Nadiem!","['setelah', 'dengar', 'podcast', 'ini', 'saya', 'merasa', 'masih', 'menaruh', 'kepercayaan', 'kepada', 'beliau', 'semangat', 'pak', 'nadiem']","['setelah', 'dengar', 'podcast', 'ini', 'saya', 'merasa', 'masih', 'menaruh', 'kepercayaan', 'kepada', 'beliau', 'semangat', 'pak', 'nadiem']","['dengar', 'podcast', 'menaruh', 'kepercayaan', 'beliau', 'semangat', 'nadiem']","['dengar', 'podcast', 'taruh', 'percaya', 'beliau', 'semangat', 'nadiem']",dengar podcast taruh percaya beliau semangat nadiem
258,Doddy Permana,Setelah baca ini berdoalah agar anak Indonesia juga semuanya bisa belajar dan tetap sehat jasmani rohani.,positif,2020-12-02T21:13:31Z,positif,Setelah baca ini berdoalah agar anak Indonesia juga semuanya bisa belajar dan tetap sehat jasmani rohani.,"['setelah', 'baca', 'ini', 'berdoalah', 'agar', 'anak', 'indonesia', 'juga', 'semuanya', 'bisa', 'belajar', 'dan', 'tetap', 'sehat', 'jasmani', 'rohani']","['setelah', 'baca', 'ini', 'berdoalah', 'agar', 'anak', 'indonesia', 'juga', 'semuanya', 'bisa', 'belajar', 'dan', 'tetap', 'sehat', 'jasmani', 'rohani']","['baca', 'berdoalah', 'anak', 'indonesia', 'belajar', 'sehat', 'jasmani', 'rohani']","['baca', 'doa', 'anak', 'indonesia', 'ajar', 'sehat', 'jasmani', 'rohani']",baca doa anak indonesia ajar sehat jasmani rohani
259,pak Agis,Setau menteri. \nKalo anak gak sekolah itu mereka aman belajar dirumah. Saya tanya yang didaerah anak2 sekarang dari pagi sampe sore ngapain ? Maen teroosssss. You are too naive mas menteri. Get your ass out of your desk dan mulailah survei lapangan...,negatif,2020-12-01T09:43:40Z,negatif,Setau menteri. \nKalo anak gak sekolah itu mereka aman belajar dirumah. Saya tanya yang didaerah anak2 sekarang dari pagi sampe sore ngapain ? Maen teroosssss. You are too naive mas menteri. Get your ass out of your desk dan mulailah survei lapangan...,"['setau', 'menteri', 'kalo', 'anak', 'gak', 'sekolah', 'itu', 'mereka', 'aman', 'belajar', 'dirumah', 'saya', 'tanya', 'yang', 'didaerah', 'anak', 'sekarang', 'dari', 'pagi', 'sampe', 'sore', 'ngapain', 'maen', 'teroosssss', 'you', 'are', 'too', 'naive', 'mas', 'menteri', 'get', 'your', 'ass', 'out', 'of', 'your', 'desk', 'dan', 'mulailah', 'survei', 'lapangan']","['setau', 'menteri', 'kalau', 'anak', 'tidak', 'sekolah', 'itu', 'mereka', 'aman', 'belajar', 'dirumah', 'saya', 'tanya', 'yang', 'didaerah', 'anak', 'sekarang', 'dari', 'pagi', 'sampai', 'sore', 'ngapain', 'main', 'teroosssss', 'you', 'are', 'too', 'naive', 'mas', 'menteri', 'get', 'your', 'ass', 'out', 'of', 'your', 'desk', 'dan', 'mulailah', 'survei', 'lapangan']","['setau', 'menteri', 'anak', 'sekolah', 'aman', 'belajar', 'dirumah', 'didaerah', 'anak', 'pagi', 'sore', 'ngapain', 'main', 'teroosssss', 'you', 'are', 'too', 'naive', 'mas', 'menteri', 'get', 'your', 'ass', 'out', 'of', 'your', 'desk', 'survei', 'lapangan']","['tau', 'menteri', 'anak', 'sekolah', 'aman', 'ajar', 'rumah', 'daerah', 'anak', 'pagi', 'sore', 'ngapain', 'main', 'teroosssss', 'you', 'are', 'too', 'naive', 'mas', 'menteri', 'get', 'your', 'ass', 'out', 'of', 'your', 'desk', 'survei', 'lapang']",tau menteri anak sekolah aman ajar rumah daerah anak pagi sore ngapain main teroosssss you are too naive mas menteri get your ass out of your desk survei lapang
260,Satria T,Serba salah emang jadi menteri pendidikan,netral,2020-11-27T23:53:47Z,netral,Serba salah emang jadi menteri pendidikan,"['serba', 'salah', 'emang', 'jadi', 'menteri', 'pendidikan']","['serba', 'salah', 'emang', 'jadi', 'menteri', 'pendidikan']","['serba', 'salah', 'emang', 'menteri', 'pendidikan']","['serba', 'salah', 'emang', 'menteri', 'didik']",serba salah emang menteri didik
261,Baron Tenoyo,Sengaja tuh biar anak kt bodoh..gk bs ksh solusi,negatif,2020-11-24T18:01:02Z,negatif,Sengaja tuh biar anak kt bodoh..gk bs ksh solusi,"['sengaja', 'tuh', 'biar', 'anak', 'kt', 'bodohgk', 'bs', 'ksh', 'solusi']","['sengaja', 'tuh', 'biar', 'anak', 'kata', 'bodohgk', 'bisa', 'kasih', 'solusi']","['sengaja', 'anak', 'bodohgk', 'kasih', 'solusi']","['sengaja', 'anak', 'bodohgk', 'kasih', 'solusi']",sengaja anak bodohgk kasih solusi
262,ANGGRAINI DJ. USMAN,"Senang sekali ketika dengar Mas Menteri bilang ini untuk siswa. Tapi, sayangnya masih ada juga siswa yang tidak mengerti bahwa ada orang-orang seperti Mas Menteri yang berjuang untuk mereka. ??",positif,2020-11-23T15:25:46Z,positif,"Senang sekali ketika dengar Mas Menteri bilang ini untuk siswa. Tapi, sayangnya masih ada juga siswa yang tidak mengerti bahwa ada orang-orang seperti Mas Menteri yang berjuang untuk mereka. ??","['senang', 'sekali', 'ketika', 'dengar', 'mas', 'menteri', 'bilang', 'ini', 'untuk', 'siswa', 'tapi', 'sayangnya', 'masih', 'ada', 'juga', 'siswa', 'yang', 'tidak', 'mengerti', 'bahwa', 'ada', 'orangorang', 'seperti', 'mas', 'menteri', 'yang', 'berjuang', 'untuk', 'mereka']","['senang', 'sekali', 'ketika', 'dengar', 'mas', 'menteri', 'bilang', 'ini', 'untuk', 'siswa', 'tapi', 'sayangnya', 'masih', 'ada', 'juga', 'siswa', 'yang', 'tidak', 'mengerti', 'bahwa', 'ada', 'orangorang', 'seperti', 'mas', 'menteri', 'yang', 'berjuang', 'untuk', 'mereka']","['senang', 'dengar', 'mas', 'menteri', 'siswa', 'sayangnya', 'siswa', 'mengerti', 'orangorang', 'mas', 'menteri', 'berjuang']","['senang', 'dengar', 'mas', 'menteri', 'siswa', 'sayang', 'siswa', 'erti', 'orangorang', 'mas', 'menteri', 'juang']",senang dengar mas menteri siswa sayang siswa erti orangorang mas menteri juang
263,Renata Hutapea,Semuanya boneka termasuk pak joko,negatif,2020-11-21T00:54:11Z,negatif,Semuanya boneka termasuk pak joko,"['semuanya', 'boneka', 'termasuk', 'pak', 'joko']","['semuanya', 'boneka', 'termasuk', 'pak', 'joko']","['boneka', 'joko']","['boneka', 'joko']",boneka joko
264,Stefanus Kurniawan,"Semua untuk anak Indonesia KEREN...\nYuk sekolah lagi, tatap muka dan belajar bersosialisasi utk membentuk karakter anak.\nProtokol kesehatan ketat wajib dilaksanakan. Semangat dan stay positive MrNadiem n MrDedy",positif,2020-11-20T14:26:58Z,positif,"Semua untuk anak Indonesia KEREN...\nYuk sekolah lagi, tatap muka dan belajar bersosialisasi utk membentuk karakter anak.\nProtokol kesehatan ketat wajib dilaksanakan. Semangat dan stay positive MrNadiem n MrDedy","['semua', 'untuk', 'anak', 'indonesia', 'keren', 'yuk', 'sekolah', 'lagi', 'tatap', 'muka', 'dan', 'belajar', 'bersosialisasi', 'utk', 'membentuk', 'karakter', 'anak', 'protokol', 'kesehatan', 'ketat', 'wajib', 'dilaksanakan', 'semangat', 'dan', 'stay', 'positive', 'mrnadiem', 'mrdedy']","['semua', 'untuk', 'anak', 'indonesia', 'keren', 'yuk', 'sekolah', 'lagi', 'tatap', 'muka', 'dan', 'belajar', 'bersosialisasi', 'untuk', 'membentuk', 'karakter', 'anak', 'protokol', 'kesehatan', 'ketat', 'wajib', 'dilaksanakan', 'semangat', 'dan', 'stay', 'positive', 'mrnadiem', 'mrdedy']","['anak', 'indonesia', 'keren', 'yuk', 'sekolah', 'tatap', 'muka', 'belajar', 'bersosialisasi', 'membentuk', 'karakter', 'anak', 'protokol', 'kesehatan', 'ketat', 'wajib', 'dilaksanakan', 'semangat', 'stay', 'positive', 'mrnadiem', 'mrdedy']","['anak', 'indonesia', 'keren', 'yuk', 'sekolah', 'tatap', 'muka', 'ajar', 'sosial', 'bentuk', 'karakter', 'anak', 'protokol', 'sehat', 'ketat', 'wajib', 'laksana', 'semangat', 'stay', 'positive', 'mrnadiem', 'mrdedy']",anak indonesia keren yuk sekolah tatap muka ajar sosial bentuk karakter anak protokol sehat ketat wajib laksana semangat stay positive mrnadiem mrdedy
265,Saka Kusuma,Semua ucapan tentang penting nya tatap muka sama kaya yang di omongin QoriGore dan gw setuju,positif,2020-11-18T02:49:11Z,positif,Semua ucapan tentang penting nya tatap muka sama kaya yang di omongin QoriGore dan gw setuju,"['semua', 'ucapan', 'tentang', 'penting', 'nya', 'tatap', 'muka', 'sama', 'kaya', 'yang', 'di', 'omongin', 'qorigore', 'dan', 'gw', 'setuju']","['semua', 'ucapan', 'tentang', 'penting', 'nya', 'tatap', 'muka', 'sama', 'kaya', 'yang', 'di', 'omongin', 'qorigore', 'dan', 'gw', 'setuju']","['ucapan', 'tatap', 'muka', 'kaya', 'omongin', 'qorigore', 'gw', 'setuju']","['ucap', 'tatap', 'muka', 'kaya', 'omongin', 'qorigore', 'gw', 'tuju']",ucap tatap muka kaya omongin qorigore gw tuju
266,Apip Sticker_Indonesia,"Semua pejabat negara ini tidak kawatir dg adanya psbb, dll.... Lha wong mereka masih tetap ada angka masuk rekening... Trus rakyat Indonesia yang tidak oleh penghasilan dari kebijakan muu pie ....",negatif,2020-11-16T12:05:35Z,negatif,"Semua pejabat negara ini tidak kawatir dg adanya psbb, dll.... Lha wong mereka masih tetap ada angka masuk rekening... Trus rakyat Indonesia yang tidak oleh penghasilan dari kebijakan muu pie ....","['semua', 'pejabat', 'negara', 'ini', 'tidak', 'kawatir', 'dg', 'adanya', 'psbb', 'dll', 'lha', 'wong', 'mereka', 'masih', 'tetap', 'ada', 'angka', 'masuk', 'rekening', 'trus', 'rakyat', 'indonesia', 'yang', 'tidak', 'oleh', 'penghasilan', 'dari', 'kebijakan', 'muu', 'pie']","['semua', 'pejabat', 'negara', 'ini', 'tidak', 'kawatir', 'dengan', 'adanya', 'psbb', 'dan lain lain', 'lha', 'orang', 'mereka', 'masih', 'tetap', 'ada', 'angka', 'masuk', 'rekening', 'trus', 'rakyat', 'indonesia', 'yang', 'tidak', 'oleh', 'penghasilan', 'dari', 'kebijakan', 'muu', 'pie']","['pejabat', 'negara', 'kawatir', 'psbb', 'dan lain lain', 'lha', 'orang', 'angka', 'masuk', 'rekening', 'trus', 'rakyat', 'indonesia', 'penghasilan', 'kebijakan', 'muu', 'pie']","['jabat', 'negara', 'kawatir', 'psbb', 'dan lain lain', 'lha', 'orang', 'angka', 'masuk', 'rekening', 'trus', 'rakyat', 'indonesia', 'hasil', 'bijak', 'muu', 'pie']",jabat negara kawatir psbb dan lain lain lha orang angka masuk rekening trus rakyat indonesia hasil bijak muu pie
267,Dava dipa Dwijayanto,Semua orang jago ngomong tapi berkonsisten dan jujur sangat susah,negatif,2020-11-13T17:18:13Z,negatif,Semua orang jago ngomong tapi berkonsisten dan jujur sangat susah,"['semua', 'orang', 'jago', 'ngomong', 'tapi', 'berkonsisten', 'dan', 'jujur', 'sangat', 'susah']","['semua', 'orang', 'jago', 'ngomong', 'tapi', 'berkonsisten', 'dan', 'jujur', 'sangat', 'susah']","['orang', 'jago', 'ngomong', 'berkonsisten', 'jujur', 'susah']","['orang', 'jago', 'ngomong', 'konsisten', 'jujur', 'susah']",orang jago ngomong konsisten jujur susah
268,Denny Al Farisi,"semua orang harus belajar disiplin, jangan ada ngotot ngototan",netral,2020-11-12T04:25:59Z,netral,"semua orang harus belajar disiplin, jangan ada ngotot ngototan","['semua', 'orang', 'harus', 'belajar', 'disiplin', 'jangan', 'ada', 'ngotot', 'ngototan']","['semua', 'orang', 'harus', 'belajar', 'disiplin', 'jangan', 'ada', 'ngotot', 'ngototan']","['orang', 'belajar', 'disiplin', 'ngotot', 'ngototan']","['orang', 'ajar', 'disiplin', 'ngotot', 'ngototan']",orang ajar disiplin ngotot ngototan
269,Alfius Alfez,semua jwbannya sangat2 cerdas????,positif,2020-11-07T09:01:04Z,positif,semua jwbannya sangat2 cerdas????,"['semua', 'jwbannya', 'sangat', 'cerdas']","['semua', 'jawabannya', 'sangat', 'cerdas']","['jawabannya', 'cerdas']","['jawab', 'cerdas']",jawab cerdas
270,Bae Yolaa,Semua hal pasti ada untung-ruginya (positif-negative) ??,netral,2020-11-05T14:35:33Z,netral,Semua hal pasti ada untung-ruginya (positif-negative) ??,"['semua', 'hal', 'pasti', 'ada', 'untungruginya', 'positifnegative']","['semua', 'hal', 'pasti', 'ada', 'untungruginya', 'positifnegative']","['untungruginya', 'positifnegative']","['untungruginya', 'positifnegative']",untungruginya positifnegative
271,fieranita wahjuningsih,Semoga Tuhan mrmberikan hikmat utk Pak Mentri menetapkan langkah2 yg terbaik. Anak2 bangsa ttp bisa maju... Amin.,positif,2020-11-04T05:04:21Z,positif,Semoga Tuhan mrmberikan hikmat utk Pak Mentri menetapkan langkah2 yg terbaik. Anak2 bangsa ttp bisa maju... Amin.,"['semoga', 'tuhan', 'mrmberikan', 'hikmat', 'utk', 'pak', 'mentri', 'menetapkan', 'langkah', 'yg', 'terbaik', 'anak', 'bangsa', 'ttp', 'bisa', 'maju', 'amin']","['semoga', 'tuhan', 'mrmberikan', 'hikmat', 'untuk', 'pak', 'menteri', 'menetapkan', 'langkah', 'yang', 'terbaik', 'anak', 'bangsa', 'tetap', 'bisa', 'maju', 'amin']","['semoga', 'tuhan', 'mrmberikan', 'hikmat', 'menteri', 'menetapkan', 'langkah', 'terbaik', 'anak', 'bangsa', 'maju', 'amin']","['moga', 'tuhan', 'mrmberikan', 'hikmat', 'menteri', 'tetap', 'langkah', 'baik', 'anak', 'bangsa', 'maju', 'amin']",moga tuhan mrmberikan hikmat menteri tetap langkah baik anak bangsa maju amin
272,Abdullah abdurrachman syahab,"semoga success , dan kami support dan berdoa utk anda Menteri",positif,2020-11-03T23:24:00Z,positif,"semoga success , dan kami support dan berdoa utk anda Menteri","['semoga', 'success', 'dan', 'kami', 'support', 'dan', 'berdoa', 'utk', 'anda', 'menteri']","['semoga', 'success', 'dan', 'kami', 'support', 'dan', 'berdoa', 'untuk', 'anda', 'menteri']","['semoga', 'success', 'support', 'berdoa', 'menteri']","['moga', 'success', 'support', 'doa', 'menteri']",moga success support doa menteri
273,Kenzio Fishing Adventure,semoga sekolah akan segera normal seperti dahulu,netral,2020-11-02T14:30:00Z,netral,semoga sekolah akan segera normal seperti dahulu,"['semoga', 'sekolah', 'akan', 'segera', 'normal', 'seperti', 'dahulu']","['semoga', 'sekolah', 'akan', 'segera', 'normal', 'seperti', 'dahulu']","['semoga', 'sekolah', 'normal']","['moga', 'sekolah', 'normal']",moga sekolah normal
274,Sumiyati Suseno,"Semoga program pemerintah di bidang pendidikan banyak positifnya.\n\nAlhamdulillaah, dengan program belajar on line di rumah, saya merasa tertolong Pak, pada saat menjelang pensiun, dan setelah pensiun tapi belum ada penggantinya guru B Inggris di SMP n 3 Mlati, Sleman., dibanding sebelumnya, harus mengajar tatap muka bersamaan di beberapa kelas.",positif,2020-10-27T09:12:09Z,positif,"Semoga program pemerintah di bidang pendidikan banyak positifnya.\n\nAlhamdulillaah, dengan program belajar on line di rumah, saya merasa tertolong Pak, pada saat menjelang pensiun, dan setelah pensiun tapi belum ada penggantinya guru B Inggris di SMP n 3 Mlati, Sleman., dibanding sebelumnya, harus mengajar tatap muka bersamaan di beberapa kelas.","['semoga', 'program', 'pemerintah', 'di', 'bidang', 'pendidikan', 'banyak', 'positifnya', 'alhamdulillaah', 'dengan', 'program', 'belajar', 'on', 'line', 'di', 'rumah', 'saya', 'merasa', 'tertolong', 'pak', 'pada', 'saat', 'menjelang', 'pensiun', 'dan', 'setelah', 'pensiun', 'tapi', 'belum', 'ada', 'penggantinya', 'guru', 'inggris', 'di', 'smp', 'mlati', 'sleman', 'dibanding', 'sebelumnya', 'harus', 'mengajar', 'tatap', 'muka', 'bersamaan', 'di', 'beberapa', 'kelas']","['semoga', 'program', 'pemerintah', 'di', 'bidang', 'pendidikan', 'banyak', 'positifnya', 'alhamdulillaah', 'dengan', 'program', 'belajar', 'on', 'line', 'di', 'rumah', 'saya', 'merasa', 'tertolong', 'pak', 'pada', 'saat', 'menjelang', 'pensiun', 'dan', 'setelah', 'pensiun', 'tapi', 'belum', 'ada', 'penggantinya', 'guru', 'inggris', 'di', 'smp', 'mlati', 'sleman', 'dibanding', 'sebelumnya', 'harus', 'mengajar', 'tatap', 'muka', 'bersamaan', 'di', 'beberapa', 'kelas']","['semoga', 'program', 'pemerintah', 'bidang', 'pendidikan', 'positifnya', 'alhamdulillaah', 'program', 'belajar', 'on', 'line', 'rumah', 'tertolong', 'menjelang', 'pensiun', 'pensiun', 'penggantinya', 'guru', 'inggris', 'smp', 'mlati', 'sleman', 'dibanding', 'mengajar', 'tatap', 'muka', 'bersamaan', 'kelas']","['moga', 'program', 'perintah', 'bidang', 'didik', 'positif', 'alhamdulillaah', 'program', 'ajar', 'on', 'line', 'rumah', 'tolong', 'jelang', 'pensiun', 'pensiun', 'ganti', 'guru', 'inggris', 'smp', 'mlati', 'sleman', 'banding', 'ajar', 'tatap', 'muka', 'sama', 'kelas']",moga program perintah bidang didik positif alhamdulillaah program ajar on line rumah tolong jelang pensiun pensiun ganti guru inggris smp mlati sleman banding ajar tatap muka sama kelas
275,Alamsyah Record,Semoga pendidikan kita lebih baik lagi dengan adanya pak Nadiem .. sukses selalu,positif,2020-10-26T12:42:20Z,positif,Semoga pendidikan kita lebih baik lagi dengan adanya pak Nadiem .. sukses selalu,"['semoga', 'pendidikan', 'kita', 'lebih', 'baik', 'lagi', 'dengan', 'adanya', 'pak', 'nadiem', 'sukses', 'selalu']","['semoga', 'pendidikan', 'kita', 'lebih', 'baik', 'lagi', 'dengan', 'adanya', 'pak', 'nadiem', 'sukses', 'selalu']","['semoga', 'pendidikan', 'nadiem', 'sukses']","['moga', 'didik', 'nadiem', 'sukses']",moga didik nadiem sukses
276,Min ah Min ah,Semoga pemerintah Indonesia dan masyarakat nya selalu sehat selalu dan terus diberkati Tuhan amin,positif,2020-10-26T10:05:15Z,positif,Semoga pemerintah Indonesia dan masyarakat nya selalu sehat selalu dan terus diberkati Tuhan amin,"['semoga', 'pemerintah', 'indonesia', 'dan', 'masyarakat', 'nya', 'selalu', 'sehat', 'selalu', 'dan', 'terus', 'diberkati', 'tuhan', 'amin']","['semoga', 'pemerintah', 'indonesia', 'dan', 'masyarakat', 'nya', 'selalu', 'sehat', 'selalu', 'dan', 'terus', 'diberkati', 'tuhan', 'amin']","['semoga', 'pemerintah', 'indonesia', 'masyarakat', 'sehat', 'diberkati', 'tuhan', 'amin']","['moga', 'perintah', 'indonesia', 'masyarakat', 'sehat', 'kati', 'tuhan', 'amin']",moga perintah indonesia masyarakat sehat kati tuhan amin
277,Ahmad Arasy,"Semoga pandemi ini cepat berlalu:) amin..\nSemangat melawan covid 19 ??\nJaga jarak,pakai masker,rajin cuci tangan",positif,2020-10-15T12:23:59Z,positif,"Semoga pandemi ini cepat berlalu:) amin..\nSemangat melawan covid 19 ??\nJaga jarak,pakai masker,rajin cuci tangan","['semoga', 'pandemi', 'ini', 'cepat', 'berlalu', 'amin', 'semangat', 'melawan', 'covid', 'jaga', 'jarakpakai', 'maskerrajin', 'cuci', 'tangan']","['semoga', 'pandemi', 'ini', 'cepat', 'berlalu', 'amin', 'semangat', 'melawan', 'covid', 'jaga', 'jarakpakai', 'maskerrajin', 'cuci', 'tangan']","['semoga', 'pandemi', 'cepat', 'amin', 'semangat', 'melawan', 'covid', 'jaga', 'jarakpakai', 'maskerrajin', 'cuci', 'tangan']","['moga', 'pandemi', 'cepat', 'amin', 'semangat', 'lawan', 'covid', 'jaga', 'jarakpakai', 'maskerrajin', 'cuci', 'tangan']",moga pandemi cepat amin semangat lawan covid jaga jarakpakai maskerrajin cuci tangan
278,Rojik Gedek,Semoga pandemi ini cepat berlalu,positif,2020-10-15T03:24:25Z,positif,Semoga pandemi ini cepat berlalu,"['semoga', 'pandemi', 'ini', 'cepat', 'berlalu']","['semoga', 'pandemi', 'ini', 'cepat', 'berlalu']","['semoga', 'pandemi', 'cepat']","['moga', 'pandemi', 'cepat']",moga pandemi cepat
279,irul anam,Semoga Pak Mentri Mentauladani Para leluhur Bangsa \nDalam Memgambil keputusan Karna kita bisa sampai titik sperti ini karna jasa para pahlawan pendidikan \nSemoga yg tulus mulus,positif,2020-10-11T07:50:52Z,positif,Semoga Pak Mentri Mentauladani Para leluhur Bangsa \nDalam Memgambil keputusan Karna kita bisa sampai titik sperti ini karna jasa para pahlawan pendidikan \nSemoga yg tulus mulus,"['semoga', 'pak', 'mentri', 'mentauladani', 'para', 'leluhur', 'bangsa', 'dalam', 'memgambil', 'keputusan', 'karna', 'kita', 'bisa', 'sampai', 'titik', 'sperti', 'ini', 'karna', 'jasa', 'para', 'pahlawan', 'pendidikan', 'semoga', 'yg', 'tulus', 'mulus']","['semoga', 'pak', 'menteri', 'mentauladani', 'para', 'leluhur', 'bangsa', 'dalam', 'memgambil', 'keputusan', 'karena', 'kita', 'bisa', 'sampai', 'titik', 'sperti', 'ini', 'karena', 'jasa', 'para', 'pahlawan', 'pendidikan', 'semoga', 'yang', 'tulus', 'mulus']","['semoga', 'menteri', 'mentauladani', 'leluhur', 'bangsa', 'memgambil', 'keputusan', 'titik', 'sperti', 'jasa', 'pahlawan', 'pendidikan', 'semoga', 'tulus', 'mulus']","['moga', 'menteri', 'mentauladani', 'leluhur', 'bangsa', 'memgambil', 'putus', 'titik', 'sperti', 'jasa', 'pahlawan', 'didik', 'moga', 'tulus', 'mulus']",moga menteri mentauladani leluhur bangsa memgambil putus titik sperti jasa pahlawan didik moga tulus mulus
280,Kevin Kristianto,semoga netizen indo bisa kompak bahu membahu bersama seluruh masyarakat dan pemerintah untuk mampu survive di pandemi ini. jangan hanya menyalahkan dan meminta pejabatnya mundur. itu ga solutif.,positif,2020-10-11T05:09:19Z,positif,semoga netizen indo bisa kompak bahu membahu bersama seluruh masyarakat dan pemerintah untuk mampu survive di pandemi ini. jangan hanya menyalahkan dan meminta pejabatnya mundur. itu ga solutif.,"['semoga', 'netizen', 'indo', 'bisa', 'kompak', 'bahu', 'membahu', 'bersama', 'seluruh', 'masyarakat', 'dan', 'pemerintah', 'untuk', 'mampu', 'survive', 'di', 'pandemi', 'ini', 'jangan', 'hanya', 'menyalahkan', 'dan', 'meminta', 'pejabatnya', 'mundur', 'itu', 'ga', 'solutif']","['semoga', 'netizen', 'indo', 'bisa', 'kompak', 'bahu', 'membahu', 'bersama', 'seluruh', 'masyarakat', 'dan', 'pemerintah', 'untuk', 'mampu', 'survive', 'di', 'pandemi', 'ini', 'jangan', 'hanya', 'menyalahkan', 'dan', 'meminta', 'pejabatnya', 'mundur', 'itu', 'tidak', 'solutif']","['semoga', 'netizen', 'indo', 'kompak', 'bahu', 'membahu', 'masyarakat', 'pemerintah', 'survive', 'pandemi', 'menyalahkan', 'pejabatnya', 'mundur', 'solutif']","['moga', 'netizen', 'indo', 'kompak', 'bahu', 'bahu', 'masyarakat', 'perintah', 'survive', 'pandemi', 'salah', 'jabat', 'mundur', 'solutif']",moga netizen indo kompak bahu bahu masyarakat perintah survive pandemi salah jabat mundur solutif
