Danz Darwiisy;"Mengenai pendidikan ya.. he ????\n---\n\nSekedar mau mengemukakan opini...\nSampai sejauh ini, tipe sekolahan belum mempunyai ""buku2-induk-konstan"" baik mengenai alatnya (baca,tulis, hitung, dll), maupun mengenai wawasan dasar buat mata pelajaran lainnya..\nSetiap tahun ajaran, se-olah2 mesti beli buku tipe baru terus..\nBeda dengan di pesantren2, mereka mempunyai ""kitab2-induk/pokok/dasar-konstan"", tetapi hal itu tidak membuat suasana & tata ajar monoton..\nMisal dari kurun ke kurun mereka tetap menggunakan kitab tijan, safinah, sulam taufiq, dll..\nYg ditambahin mungkin kitab2 pensarah atau perluasan, & itupun dikatakan sedikit, karena entah mengapa mereka bisa memahami jalurnya..\n\nUntuk sekolahan sampai saat ini belum mempunyai buku2 konstan semacam itu..\n\nYg kedua, saya sebagai salasatu lulusan SMA, banyak judul berbagai pelajaran yg seolah2 tidak ada implementasinya buat kehidupan sehari2 saya setelah lulus...\n\nMenurut saya untuk SMA sudah harus benar2 kejuruan, teknik, atau keahlian semuanya..\nSudah tidak perlu lagi penampungan banyaknya mata pelajaran (insya ALLOH ngertilah maksudnya tulisan ini).. he\n\nTerakhir, wajib belajar, tapi faktanya, makin kesini, biaya malah makin mahal, fasilitas tidak menaik, dsb..\n\nSekolah dominan selalu mengenai status & ijazah, tidak mengenai pembentukan manusia yg berjiwa pembelajar.. ????";;;2020-08-20T17:25:43Z
Aditya Erlangga;Mengapa.. kegiatan diluar sekolah seperti CFD, dll itu berdesak”an,rame”,gak memperhatikan social distancing.. gpp gituloh...sedangkan sekolah itu ketat bangett...yg pasti social distancing.. itu malah ..;;;2020-08-20T17:16:01Z
Azri Amin Hidayah;Mengapa sekolah tatap muka tidak melakukan cara 3-4 ronde pertemuan per hari nya,dengan cara bergantian khusus untuk siswa SMP & SMA \nCth:SMP & SMA kelas 7&10 masuk pada pukul 7:15 sampai 10:15,kelas 8 & 11 masuk pukul 11:15 -14-20 dan kelas 9 & 12 masuk mulai pukul 15:00 - 18:00\nKalau pendidikan dasar seperti SD di fokus kan belajar dirumah bersama orng tua,dan lebih menggunakan security sekolah untuk untuk melakukan pengawasan kepada pelajar agar tidak berkumpul;;;2020-08-20T17:10:01Z
WAHYU YUDHA;Mengapa daerah zona hijau diberlakukan hal yg sama pak mentri? Mending pak mntri bikin protokol bagiman zona hijau tetap bisa sekolh tatap muka dengan catatan protoklnya dibuat.;;;2020-08-20T16:57:56Z
Etrama Diraizel;mending sekarang gk usah sekolah ... lngsung aj belajar sma google... biar gk bayar skolah pecuma;;;2020-08-20T16:53:16Z
osin ajinomoto;Mending pak nadiem jadi presiden ... berbobot ... smart ...ini pilihan saya anak sd kelas 3;;;2020-08-20T16:51:33Z
Diva Kertha;Mending gue sekolah tatap muka dari pada blajar online gini \nTugas tidak membuat siswa pintar \nKnapa para guru setiap hari memberi tugas,  kasi juga kami materi \nGue udah goblok ditambah goblok oleh tugas tugas yg setiap hari di kasi oleh para guru;;;2020-08-20T16:35:20Z
POWER OF NEW GENERATIONS !!!;Mending diem, amatin, tiru, modifikasi dan respect!!!\nAnd remember, semua demi anak cucu kita ??;;;2020-08-20T16:31:06Z
Parasian Manurung Vlog;Mencintai pelajaran akan memudahkan kita menguasainya. \nKuasai pelajaran dengan cinta.;;;2020-08-20T16:14:43Z
Makes Different;Menakjubkann ??????;;;2020-08-20T16:13:44Z
A 5;Meminta maaf itu lebih keren ?? good for u pak nadiem;;;2020-08-20T16:09:34Z
Swendra Adnyana;Membuat semua orang bahagia itu mustahil. Tapi saya akan lakukan yg terbaik agar masyarakat bahagia(nadiem makarim). You're the man. ????;;;2020-08-20T16:03:50Z
Pus Pus;membuat kurikulum sejak dulu bukan hal yang mudah, bahkan sebelum nadiem kita pernah merasakan transisi di K13 yang dimoratorium sejenak. Apalagi membuat kurikulum yang sesuai dengan kondisi krisis seperti sekarang, pasti menjadi sulit karena terkait banyak kepentingan, baik secara teknis maupun politis.\n\nsaya berharap di masa sulit ini pemerintah juga bisa melakukan akselerasi untuk membuat kurikulum berbasis kebencanaan. bukan hanya bencana terkait corona atau bencana alam saja, namun berbagai jenis bencana lain. sehingga apabila suatu daerah tiba-tiba terkena bencana, dinas pendidikan setempat sudah punya SOP bagaimana menerapkan pembelajaran di tengah kondisi yang tidak memungkinkan. \n\nini butuh banyak waktu utnuk mengumpulkan metode, menelaah penerapan di lapangan, dan penelitian untuk lebih menggali bagaimana metode paling tepat sesuai perbedaan fasilitas dan kondisi di tiap sekolah. Saya harap banyak mahasiswa pendidikan yang tertarik untuk meneliti isu ini dari berbagai sudut pandang, termasuk dari sisi tumbuh kembang.;;;2020-08-20T15:59:57Z
Miftahuda Adam;Membuat dua model pembelajaran tidak mudah yaaaa.... Kasian gurunya;;;2020-08-20T15:58:11Z
Supra Dito;Memang sulit membuka kecurangan di instansi sendiri;;;2020-08-20T15:56:12Z
Burung burung;Memang SMART pak menteri nadiem makarim....;;;2020-08-20T15:53:11Z
Reni Adiani;memang mas nadiem pilihan terbaik utk saat ini. terlihat jelas banget visi dan misinya. super proud mas nadiem.;;;2020-08-20T15:51:46Z
Dr Kardiana Dewi;Memang cerdaasss pak Nadiem ini! ?????? \nSmoga bisa terus memberikan kontribusi terbaik bagi bangsa ya pak ????\n\nTidak mudah yg anda lakukan... tapi kami percaya, bapak akan mengupayakan yg terbaik bagi pendidikan bangsa ini ?????\n\nSmangaattt paakk Nadiem! ??????????;;;2020-08-20T15:51:37Z
ivan asikin;Memang bukan yg terbaik kok...harusnya posisinya harusnya  di menteri berbau teknologi...karena dari posisi ketua gojek menjadi mendikbud itu kurang tepat...karena dunia pendidikan itu berbeda...;;;2020-08-20T15:51:19Z
Dinasty Rod Custom DRC;memang ada hal yg positif tapi tdk sedikit yg negatif, apakah disas pendidikan daerah melakukan kontrol peda sekolahan2.\nsekolah ditempat saya aja kepala sekolah, guru, komite pada mati suri;;;2020-08-20T15:47:48Z
Telly Nahlu Rizal;Memaksakan ketidak normalan menjadi sebuah kenormalan...;;;2020-08-20T15:43:20Z
Gundala Wejasena;Melakukan yang terbaik. Luar biasa;;;2020-08-20T15:20:54Z
Listiyana Dewi Puspasari;Media sosial kadang menjadi momok untuk orang tua di masa pandemi jika tidak melakukan pengawas  dan perhatian kepada anak dengan benar;;;2020-08-20T15:10:21Z
arjuna putra;May be can be good;;;2020-08-20T15:04:35Z
Devita Fullia;Mau tau, knp msk sekolah utamakan umur? Blm tau alasany mungkin ada yg bisa jelasin;;;2020-08-20T14:39:20Z
Luny Janah;Mau tanya ada ga sekolah TK yang buka?;;;2020-08-20T14:35:19Z
Airlangga Airlangga;Mau tanya , kenapa bertemu untuk ke sekolah syarat nya lebih rumit di banding pergi ke mall, karena saat ini mall sudah mulai buka, padahal sekolah lebih mudah di control, dari pada mall yang kita ga saling kenal siapa.yang ada di sana;;;2020-08-20T14:13:44Z
aditya laksana;Mau share aja nih, karena banyak mahasiswa yang protes, tapi saya mau ngasi tau sisi lain saya selama PJJ. Saya mahasiswa S1, dan terus terang nih, sejauh ini saya sendiri nyaman sama PJJ. Mungkin bukan 100 persen karena usaha menteri saja, tpi juga karena bagaimana kampus, lbh khususnya prodi saya menyiapkan PJJ dengan baik. Memang sih lbh nyaman tatap muka, tpi saya g merasakan keresahan yang berlebihan karena PJJ. Tantangan selama PJJ memang besar, tapi saya sebagai mahasiswa saya merasakan bbrp benefit karena PJJ. Secara finansial saya g keluar uang buat kost, laundry, bensin, dll. memang keluar kuota banyak tpi bagi saya itu lbh irit drpda biaya kebutuhan lain. Kegiatan perkuliahan saya jd lbh efektif yang mana umumnya hampir setiap hari saya begadang (karena mahasiswa arsitektur, tau sendiri lah. dan begadang pun di kos, bukan ke cafe2 yang harus keluar biaya ngopi lagi dan saya ga pernah haha hihi diluar) saat PJJ saya jd bisa menambah jam tidur saya. Saya malah justru bisa berolahraga, baca buku lebih banyak, dan menjadi lebih disiplin, yang mana ga bisa saya dapatkan sepenuhnya saat tatap muka. Bagaimana nila saya? aman IP saya sem ini 3,71. relasi saya baik2 saja, dan bahkan saya skrg bs menjadi asdos. Oh ya keluarga saya jg bukan dari keluarga yang kaya2 amat yang kalo keluar uang jg msh mikir2 buat kebutuhan lain :). Oh ya saran aja buat teman2 siswa dan mahasiswa, kalau kalian ada kendala PJJ mungkin pertama2 kalian bisa kasi saran dan kritik ke pihak2 yang terlibat langsung, seperti guru dan dosen yang terlibat. Karena bagi saya mereka kunci utama dari PJJ.;;;2020-08-20T14:10:40Z
Careesa Vlogs;mau nangis denger pak nadim ngomong, kok pinter dan kepikiran bikin program ini..., saluuutt banget;;;2020-08-20T13:43:20Z
Muh Isrha;Mau kasi saran klw bisa kepada pak Nadiem yang di zona hijau dan kuning siswa siswinya bisa di baurkan jadwal 50% masuk pagi dan 50% masuk siang. Itu mungkin lebih opitmal krna memang betul tatap muka itu penting;;;2020-08-20T13:43:10Z
Irvan Nasution;Materi bagus, dan akan lebih baik jika dedi menyapa dan memanggil dgn pa Mentri atau pa Nadiem atau Pa Karim. Karena kita tetap lah org timur yg menjunjung tata krama. Itu akan lebih menunjukkan rasa hormat kepada seorang pemimpin, apapun pemimpinnya.;;;2020-08-20T13:34:54Z
mika mika;Masyarakat indonesia kaget pak, tapi ini 'harus' ..malah terjadi lebih awal karena hadirnya pandemi.;;;2020-08-20T13:21:33Z
Our Kitchen;Masya Allah..mas Nadiem jenius,ber empati tinggi pula.semoga senantiasa dimudahkan,dilancarkan segalanya.;;;2020-08-20T13:18:34Z
adhi kurniawan;Masukkan saya untuk membantu rakyat yang kurang mampu untuk dilakukan pembelajaran melalui TV dengan memanfaatkan TVRI dan radio melalui RRI;;;2020-08-20T13:10:03Z
Mur Dianto;Masih Nunggu Menteri BUMN Cerita Kisruhnya BUMN selama Puluhan Tahun .;;;2020-08-20T13:05:44Z
herdo dp;masih ada yang mau bilang sekolah tidak penting ?;;;2020-08-20T13:01:47Z
Mur Dianto;Masalah Pendidikan Sebelum Pandemi. sudah bermasalah. \n\nBaru coba Maju 1 Step, langsung Corona. Sebuah Kesialan.;;;2020-08-20T13:00:43Z
Erlin Rimbawati;Masalah nya belajar online ini membuat sekolah terkadang tidak sanggup membayar guru karena ortu siswa ga mau pada bayar,kadang pengaruh ke gurunya ga pada dibayar full, kalaupun otru bayar full spp ttp aja pihak sekolah kadang ada yang nakal membayar guru honorer setengah gaji... kesimpulan nya pandemi ini oleh sebagian oknum Pendidikan dijadikan ladang korup... ujung ujungnya guru honorer di daerah semakin miskin. Saya mau pemerintah membela guru honorer    dan memperjuangkan generasi kita... sekali lagi saya bicara ttg guru honorer bukan PNS yang sudah jelas sejahtera;;;2020-08-20T12:44:46Z
Ridho Rifqi;masalah nya adalah fasilitas dan efektifitas karena fasilitas tidak semua siswa memiliki dan terpenuhi.\ndan soal efektifitas tidak terlalu efektif karena tidak semua siswa mudeng dan tidak semua guru memberikan kejelasan yang sejelas jelasnya kepada siswa siswanya.;;;2020-08-20T12:38:08Z
Dewi Intan;"Masalah dalam pembelajaran sekarang itu ""kuota""";;;2020-08-20T12:17:59Z
farkhan mahatma ananda;masalah  pendidikn adalah kultur bermasyarakat indonesia mau pandemi ini 10 tahun kalau dari diri masing masing individu memiliki semangat belajar dan rasa ingin tau yang besar pasti dia akan berkembang sendiri tinggal kementrian menyediakan apapun yang dapat membantu proses ini cuman kultur di indonesia adalah bahwa pendidikan hanya di sekolah;;;2020-08-20T12:17:38Z
Komeng Ar;Masadepan bangsa ditentukan pendidikan, negara lain dah buka sekolah tatap muka;;;2020-08-20T12:14:38Z
Sivha Sivha;mas nadim menjawab dg lugas tegas dan rasional??;;;2020-08-20T12:12:10Z
xyndent;Mas Nadiem.. am a teacher and you are my hero. hopefully we can change the system together!;;;2020-08-20T12:09:36Z
Malika_ channel;mas nadiem,,,, anda ...\n\n\nKEREN;;;2020-08-20T12:08:44Z
Yog Yok;Mas Nadiem yg sdh berada di zona nyaman, tp tetap tabah dan ikhlas di zona yg sulit. Semoga Allah melindungi dan menuntun mas Nadiem.;;;2020-08-20T12:05:28Z
mainan asik;Mas nadiem seorang termasuk orang terkaya di indonesia aset perusahaan gojek 70 T dalam waktu 10 tahun,  ngapain klo dia gak peduli indonesia dia sibuk2 mikir bangsa, enak senang2 aja nikmatin hidup, tapi nadiem gak gitu , beliau mikirin rakyat;;;2020-08-20T12:03:48Z
eden finch;Mas Nadiem perlu orang yg bisa mengkomunikasikan dengan bahasa dan konteks yg dapet dimengerti rata2 org indo. Ga semua harus disampaikan....;;;2020-08-20T11:59:32Z
Hii;Mas nadiem kepemimpinan di sekolah perlu di evaluasi atas permendikbud no 6 thn 2018 ttg jabatan kepala sekolah negeri. Alangkah baiknya di evaluasi masa jabatan yg terlalu lama sampai 12 thn. Dan hal ini menutup peluang guru muda yg punya potensi dgn era milenial;;;2020-08-20T11:54:09Z
Herlina Kristal;Mas Nadiem hebat\nMasih muda dan mau yg terbaik utk semua masyarakat.\nProud of you;;;2020-08-20T11:43:55Z
Debora Maria;Mas Nadiem ....sy salut dgn kerendahan hati anda .Positif thinking anda , pemikiran yg jauh ke depan ....demi masa depan anak 2 bangsa ini . Doa sy kiranya Tuhan memberi anda kebijaksanaan , kekuatan dan team work yg solid utk mendukung ide ide anda yg brilian . Inilah hasil kl ' otak ' pernah direbus di Harvard .Sy berpikir berapa ya IQ Mas Nadiem .....setidaknya 140. = jenius .Maju terus Mas Nadiem ...kami mendukungmu;;;2020-08-20T11:25:29Z
Wisnu Ekosaputroo;Mas Mentri......pasti ada jalan.( Gojek Indonesia).semangat mas Mentri.....heheheh;;;2020-08-20T11:24:27Z
ASA alauddin;Mas mentri.. bagaimana rencana anda dgn adik2 di daerah timur yg serba terbatas;;;2020-08-20T11:17:39Z
Fandi Uchiha;mas mentri, coba pelajarin gimana caranya jepang bisa berhasil setelah hirosima dan nagasaki di bom. mungkin sedikit bisa membantu walaupun case yg sekarang berbeda. namun ada kesamaan, \reducation after war, SEMANGAT BERSAMA 75 TAHUN INDONESIA MERDEKA, CACI MAKI GA ADA HABISNYA, MARI SALING DUKUNG;;;2020-08-20T11:08:38Z
syamsul arifin;mas mentri satu ini kalau cuman rebahan sudah enak bgt lho hidupnya, dia anak konglomerat anwar makarim, dia founder perusahaan yg kini sudah decacorn\ntapi dia rela melepasnya demi memikirkan masadepan bangsa, gitu masih dicaci\n\nsemoga beliau selalu sehat dan terjaga dari segala fitnah;;;2020-08-20T11:07:05Z
Niltal Studio;Mas mentri kenapa kami para siswa sekolah swasta di diskriminasi, kami tidak mendapatkan bantuan kuota belajar sedikit pun dari sekolah, kenapa kami tidak dapat padahal yang lain dapat, apakah karena kami siswa sekolah swasta? tolong bantu kami juga, kami juga pelajar;;;2020-08-20T11:01:52Z
data negara one;Mas Mentri hebat, program tatanan di kementrian pendidikan juga hebat tapi dibawah perlu pengawasan ketat Mas, khususnya pengawas pendidikan didaerah pelosok.;;;2020-08-20T11:01:23Z
angin Segar;Mas mentri di wawancarai sbg  pribadi atau membawa nama kemendikbud?bila kemendikbud artinya include jutaan guru tua muda di dalamnya....elu?elu?;;;2020-08-20T10:53:07Z
Ummu Aleva;Mas Mentri dampak anak yg daring tp kepencet situs negatif without any control from adult, coincedence situation... What a worst impact that logically happen.  Gmn mas mentri.. Bnyk waktu yg tdk selalu disertai orang dewasa/orangtunya loh ketika ada konten negatif yg kepncet dan bikin penasaran anak? Again n again.. Kan bnyk anak yg ga sehebat orang kota, yg dikampung itu anak2 yg ga ngerti ga bs memfilter konten itu log, gurunya juga ga all time with them to control it;;;2020-08-20T10:48:03Z
Mudjiati Mudjiati;Mas mentri ak mendukungmuu ??????\n\nTetap semangatt ??;;;2020-08-20T10:47:31Z
bunda oriza;Mas menteri...sy pun merasa, pas diangkat jadi kepsek, pas pandemi\n?? pucing\n\nApalagi mas menteri....tetap semangat\nSemoga mas menteri sehat selalu;;;2020-08-20T10:45:34Z
toni saputra;Mas Menteri, selain guru dan siswa yang diberikan bantuan pulsa/paket data, kiranya operator yang bekerja demi kepentingan sekolah dipikirkan juga;;;2020-08-20T10:29:00Z
Sri Sitepu;Mas menteri terima kasih atas sharingnya. Semangat untuk melakukan revolusi pada sistem pendidikan.;;;2020-08-20T10:20:44Z
Purwanty Sri;Mas menteri side effect Dari PJJ mamak mamak jadi repot Karena penyampaian module Dari sekolah hrs Di translate kepada anak. Apakan bisa disederhanakan Tampa merubah goal Dari kbm?;;;2020-08-20T10:10:00Z
amilah yusfiana;Mas menteri mmg smart,  tapi kurang pengalaman  bergaul;;;2020-08-20T10:09:21Z
Arya;mas menteri let's make it happen, youre doing the best for indonesia.\nGREAT JOB ??;;;2020-08-20T10:06:40Z
Dewi Rayungsasi;Mas Menteri kita ini waktu bagi2an otak dari Tuhan ada paling depan.. Subhanallah;;;2020-08-20T09:59:35Z
Arianto Taufiq;Mas Menteri ini keren banget.. Semangat Pak..;;;2020-08-20T09:59:16Z
Chafeedz 2012;Mas menteri cerdas, toopppp ??;;;2020-08-20T09:57:42Z
Suprapto Suryodiharjo;Mas menteri , ahli technolog, technopreneur,dapat duit dari tehnologi...tapi gagap saat jadi menteri pendidikan, wajar sh karena BUKAN BIDANGNYA...saat pandemi kementrian yang beliau pimpin termasuk yang paling terbelakang,dengan tehnologi yang sudah 5.0, Kementrian pendidikan hanya mampu bikin konsep belajar lewat TVRI, itu juga sudah mulai ditinggalkan karena tidak efektif.....lainnya...zong...baru mau mengeluarkan kurikulum darurat ketika sekolah sudah berjalan 2 bulan,terus mau dibawakemana pendidikan kita ? mending sekolah distop aja semua,mulai lagi tahun ajaran baru di bulan januari,toh dulu tahun 70an,sekolah kita tahun ajarannya juga pernah di bhulan januari..;;;2020-08-20T09:57:34Z
Astrijono bakti;Mas mententri yg mendpt kuota internet itu daerah mana aja ? Jgn 2 yg tau soal2 dana turun hanya kepala sekolah aja ! Muridnya nggak pernah tau! Taunya disuruh bayar spp;;;2020-08-20T09:56:44Z
Taopiknh Hidayat;mas jangan diskusi sama mentri luarnegri lainnya ...coba tanya ke rumput yang bergoyang;;;2020-08-20T09:52:27Z
Henny Hartati;Mas dedy. Sy ibu rumah tangga. Bingung dgn SDN anak sy. gk ada pelajaran b.ingrs sama sekali. Dr kls 1 sampai 6.??????;;;2020-08-20T09:48:37Z
Liana Sya;mas dedi usulin dong spp di discount at least 35% lah  buat kuota. bknnya tambah murah ini lbh membludak . g usah di list tau sendiri jlsnya.;;;2020-08-20T09:47:48Z
F. B Wainda;Mas Deddy....saya boleh kasih ide untuk pak menteri Nadiem..untuk pendidikan Indonesia.....nama saya Faisal 081212972111;;;2020-08-20T09:42:14Z
yanti isriyanti;Mantap...;;;2020-08-20T09:37:13Z
Hasan Albana Official;Mantap saya setuju dengan pak nadiem\nKapan kiranya kurikulum baru tersebut diluncurkan ? Apakah menunggu tahun ajaran baru atau sesegera mumgkin peluncurannya ?\nTerimakasih;;;2020-08-20T09:29:36Z
NIZAR Fazrina;Mantap om Dedi..\nSetuju tatap mukaaaa...;;;2020-08-20T09:23:50Z
fentie utamie;Mantap mas Menteri saya seorang Guru memang byk org tua yg mengeluh dg PJJ yg anaknya satu, dua dst. Padahal guru di sekolah hampir 20-30 siswa.\nArtinya hikmah covid ini orang tua jd faham bagaimana sulitnya mendidik anak.;;;2020-08-20T09:16:49Z
m ichlas junior;mantap lah nadiem makarim, jika salah bilang salah dan perbaiki, jika benar kembangkan. yaaa jika aku salah koreksi ty....;;;2020-08-20T09:15:59Z
Kokom Komariah;Mantap buat pa menteri ????;;;2020-08-20T09:15:02Z
Sisca Fahrudha;Mantap banget bapak Nadiem ,,, :')...;;;2020-08-20T09:13:59Z
Sartika Tika;Mantap;;;2020-08-20T09:10:45Z
bowo dwi;Mantap;;;2020-08-20T09:08:39Z
Sahabat Parabola;mantabs!!!;;;2020-08-20T09:02:14Z
Gabriel Lakamnasi;Mantab Pak Nadiem Lanjutkan;;;2020-08-20T08:58:57Z
TAB AKO;mana PR gue bantai semu njg PR malah kurang;;;2020-08-20T08:44:47Z
Rifky Ananta Risal;"Mall kan dibuka? Kenapa skolah gak dibuka? Caranya agar menghindari covid di skolah yah wajib pakai masker siswa yg masuk 50% sosial distancing bawa bekal masing"" Yah gampang...belajar di rumah bukan makin pintar tapi tambah bego gw";;;2020-08-20T08:41:49Z
Budi Fara;Mall di buka, bioskop boleh, kantor juga boleh.. napa sekolah gak? Biaya PJJ lebih membebankan orang tuanya. Yg pertama kuota, ke 2 orang tua melihat anak malas krn belajar yg menjawab adalah google, mereka bisa mencari di google, sama halnya mereka menyontek, ke 3 pelajaran yg diberikan hanyalah angin lalu saja dan tak tertanan di otak anak. Apakah efektif? SANGAT TIDAK EFEKTIF. Kuota yg dipakai bukan hanya kuota anak saja, tp hp ke 2 orang tuanya juga. Terkadang guru memberikan link video dr youtube, lalu ling soal berbeda lagi, lalu link untuk mengirim jawaban atau hasil nilai berbeda lagi. Alhasil 3 handphone dipakai.. anda jangan menguntungkan pihak google dan membebani orang tua yg gajinya tidak besar, anda jangan berfikir ini efektif. Rubah mainset otak anda. Yg belajar di sekolah aja masih banyak yg males2an dan gak paham, apalagi yg dirumah? Sekarang sedang sulit cari uang, masa cofid 19 ini beban rumah tangga sudah banyak. Jangan ditambahkan dengan beban pendidikan yg belum jelas..;;;2020-08-20T08:40:41Z
Agustine Handayani;Malah orang tua yg takut anak nya kena covid mending dirmh belajar nya sih;;;2020-08-20T08:37:22Z
N.A Brothers Corp.;Maksud pak Nadiem adalah pengembangan Kurikulum, sehingga kita ngga seharusnya pasrah dengan Pandemik  melainkan kita juga harus bergerak sesuai protokol untuk menemukan pembelajaran *Baru* yang penting, dan menambah pengalaman pada siswa di zaman yg sudah masuk millenial ini\nKarena apa siswa lebih mengerti jika..., pembelajaran itu menarik dan membuat alam bawah sadar siswa mengingat pembelajaran tsb hingga ia tahu di suatu peristiwa tsb ia belajar 1 pelajaran (Matematika)\nNah lab dalam artian Pak Nadiem Guru harus memanfaatkan pembelajaran POP secara dan dengan cermat dan koefisien mereka sendiri yg natabene membutuhkan biaya luar biasa besar, menjadi lebih terjangkau dan memberikan memorable moment pembelajaran ke anak didik, kelak ia akan ingat pembelajaran ini itu karena memorable moment yg mereka dapat dr guru millenialis\nMasalahnya.... 1 om dedy dan pak #nadiem transformasi antara generasi tua yang notabene mereka mulai gagal belajar cara millenialis, menuju ke generasi baru yang tau millenial itu apa sangat seret/susah di terapkan dengan cepat, mohon pak #nadiem cara agar transformasi antar era agar lebih cepat di tengah pandemi ini bagaimana? Apakah ada solusi pak Nadiem? \n#nadiem #deddycorbuzier\nSiap ga siap inilah saatnya new transformation Old school to milenial Learning\nTerimakasih??????;;;2020-08-20T08:35:28Z
Vita fitria agnes Supit;Makasi pak mentri...sy org tua yg pny anak Sd kls 5 dan SMP kls 9..mmg sulit sy membagi wkt membimbing anak2 ketika jam bljr dimulai dgn wkt tugas sy sbg iBu RT...sy mengharapkan kurikulum yg mudah dan sesuai situasi kondisi anak.\nDan anak sy jg sdh sgt rindu teman2 dan suasana di sekolah ????\n\nSemangat trs pak mentri Nakarim...kami org tua sellu mendukung prog.pemerintah khususnya di bid.pendidikan;;;2020-08-20T08:35:24Z
John Tri;Makarim buat kerja banyak menghayal kari, memang ngak ada skill dibidang pendidikan,  nampak teori saja,  susah kalau kerja ngak ada skil dibidangnya, jdnya bodoh rakyat macam ini,  inilah pendidikan melenial, loyo, no skill nad job,;;;2020-08-20T08:31:35Z
yati supri;Makanya jangan mikir negative nya aja semua pasti ada plus minus nya;;;2020-08-20T08:29:35Z
Nada Nadhifa Azhar;majuu pa mentri semangatttt;;;2020-08-20T08:22:43Z
Sally Siahaan;Maju trus dan semoga selalu bisa sabar ya pak mentri ??, memang bukan tugas mudah menghadapi keadaan ini;;;2020-08-20T08:22:18Z
Pratama Radiator;Maju Teruuuus... Mas Nadiem... \nSelama Langkah Kita Benar dan Baik utk Bangsa, Walaupun Harus Menyingkirkan Makanan yg Selama ini Menjadi Makanan Yg Mmpunyai Kuasa.;;;2020-08-20T08:21:28Z
putri love s channel;Maju terus pantang mundur pa Menteri dg inovasi Pendidikan di Indonesia,untuk Indonesia Jaya??;;;2020-08-20T08:11:23Z
Muhammad Raihan Pribadi;Maju Terus Pak Nadiem.;;;2020-08-20T08:10:43Z
YULIS CENEL;MAJU TERUS PAK MENTRI  SEMOGA SUKSES MAJU TERUS INDONESIAKU;;;2020-08-20T08:08:25Z
Very valenthino Nurak;Maju terus mas mentri, indonesia yg blum siap dengan anda...tp mau tidak mau kita harus maju..jaln kan ap yg menurut anda benar;;;2020-08-20T08:07:33Z
